Date,Open,High,Low,Close,Volume
1/8/2024 16:00:00,655.81,662.08,654.03,661.69,2245294
1/9/2024 16:00:00,658.88,667.29,658.26,667.18,1886171
1/10/2024 16:00:00,669.56,673.83,669.01,672.76,1801881
1/11/2024 16:00:00,671,674.51,667.64,673.58,1670780
1/12/2024 16:00:00,677.5,683.72,676.11,683.24,2388399
1/16/2024 16:00:00,683.24,686.52,678.16,681.49,1626699
1/17/2024 16:00:00,680.5,684.87,679.19,684.19,1786799
1/18/2024 16:00:00,682.83,687.72,680.21,687.31,1900615
1/19/2024 16:00:00,688.5,696.13,682.67,694.97,2267866
1/22/2024 16:00:00,695.43,698.66,690.52,692.51,2452868
1/23/2024 16:00:00,690.72,691.63,684.63,687.59,2208580
1/24/2024 16:00:00,689,689.97,683.12,686.51,1946549
1/25/2024 16:00:00,686.5,686.5,675.96,679.9,2751888
1/26/2024 16:00:00,680.08,687.24,679.5,686.88,1825517
1/29/2024 16:00:00,689.9,694.13,686.26,694.01,2215436
1/30/2024 16:00:00,692.94,702.65,690.8,700.74,1610482
1/31/2024 16:00:00,701.32,705.52,693.04,694.88,1928495
2/1/2024 16:00:00,694,705.3,691.5,704.48,2039177
2/2/2024 16:00:00,703.34,714.28,702.26,709.48,2377629
2/5/2024 16:00:00,710.64,712.86,705.68,711.16,2276889
2/6/2024 16:00:00,711.23,712.72,704.34,710.79,1920162
2/7/2024 16:00:00,714.15,723.32,712,719.78,2145467
2/8/2024 16:00:00,723.89,728.17,720.66,724.16,1918506
2/9/2024 16:00:00,725.14,725.53,720.12,723.4,1426119
2/12/2024 16:00:00,723.52,723.8,715.3,722.41,1572611
2/13/2024 16:00:00,721.39,721.78,709.04,714.25,1951080
2/14/2024 16:00:00,716,722.55,711.07,722.18,1472519
2/15/2024 16:00:00,721.49,726.03,718.28,724.51,1264141
2/16/2024 16:00:00,721.99,729.06,718.5,723.99,1764947
2/20/2024 16:00:00,728.03,734.96,723.71,725.69,2407333
2/21/2024 16:00:00,725.69,728.79,720.27,723.02,1565913
2/22/2024 16:00:00,725.85,736.05,725.85,734.4,1801596
2/23/2024 16:00:00,740.12,742.51,737.12,737.93,1265759
